Time,bandwidth,delay
0,44.0509554140127,5
100,29.3467391304348,5
200,28.6886836027714,5
300,33.705,5
400,30.9644660194175,5
500,31.0494545454545,5
600,25.3059459459459,5
700,32.4597101449275,5
800,28.669698630137,5
900,37.9433220338983,5
1000,49.7471153846154,5
1100,45.4018803418804,5
1200,31.7305637982196,5
1300,24.7730769230769,5
1400,25.0254708520179,5
1500,34.488275862069,5
,31.9726732673267,5
,27.1835466179159,5
,18.9457142857143,5
,19.120396039604,5
,16.8158558558559,5
,21.2608633093525,5
,20.4478212290503,5
,21.1296805896806,5
,30.4201658374793,5
,31.4442276422764,5
,25.1594842406877,5
,31.4722244488978,5
,37.2730434782609,5
,42.6530612244898,5
,45.0184848484849,5
,33.9591154791155,5
,34.2817391304348,5
,26.3847787610619,5
,31.087619047619,5
,24.5553369763206,5
,30.9909355509356,5
,21.8365538461538,5
,27.1782608695652,5
,24.0120970042796,5
,26.1315223880597,5
,20.1353545232274,5
,18.8535114503817,5
,33.2454607508532,5
,21.0210892236385,5
,19.4342857142857,5
,24.6328205128205,5
,18.9746666666667,5
,18.7382781456954,5
,16.2426829268293,5
,25.5772280178838,5
,22.3583783783784,5
,26.5470646766169,5
,26.5750625,5
,22.5544976816074,5
,20.2399101123596,5
,24.1703937007874,5
,28.9247967479675,5
,18.62,5
,22.5919605425401,5
,21.9388235294118,5
,21.3177975133215,5
,16.78688,5
,23.3407114624506,5
,24.4046582278481,5
,29.2242152466368,5
,26.7577594728171,5
,22.4993406593407,5
,17.0528682170543,5
,14.7645580404686,5
,14.4912468193384,5
,13.4103493449782,5
,19.3938181818182,5
,11.7011320754717,5
,13.4770899107756,5
,9.84131443298969,5
,9.97680216802168,5
,9.43396524486572,5
,12.553795379538,5
,12.0613740458015,5
,12.8607661822985,5
,14.6986063348416,5
,18.0124959216966,5
,19.9862473794549,5
,14.6947976878613,5
,19.8982490272374,5
,12.5290092307692,5
,21.2897525206233,5
,19.8861992619926,5
,13.6027487473157,5
,12.065358490566,5
,17.450229120473,5
,16.8545132743363,5
,20.8743971631206,5
,25.2167008387698,5
,20.0957324106113,5
,16.3396610169492,5
,17.1886374133949,5
,30.3129166666667,5
,15.5519426523298,5
,15.2500355871886,5
,13.2008285004143,5
,10.6186880320481,5
,9.32286852589642,5
,12.2916701316701,5
,11.346373292868,5
,11.0987951807229,5
,9.69636199095022,5
,11.3759077809798,5
,14.9968965517241,5
,11.9273664362036,5
,16.7779283387622,5
,13.9391036002939,5
,13.414,5
,19.5111,5
,9.75194029850746,5
,15.3074882629108,5
,14.2471310277642,5
,14.5362954545455,5
,9.95919561243144,5
,8.36267213595078,5
,15.0284455032758,5
,12.5227707808564,5
,9.7477001270648,5
,14.6810684474124,5
,17.3688784497945,5
,10.4067724867725,5
,13.4676856649396,5
,11.6024689606243,5
,14.4900981767181,5
,18.3446080191502,5
,15.3947899159664,5
,11.381,5
,14.1260327868852,5
,16.0931255901794,5
,19.4480763582966,5
,13.1722123893805,5
,16.1682774049217,5
,12.5434862385321,5
,12.7149106029106,5
,10.5822993492408,5
,9.5466338097585,5
,11.8596949475691,5
,12.554731277533,5
,10.1666493055556,5
,9.25244689221086,5
,13.6674033149171,5
,13.5680620155039,5
,13.1450347407803,5
,17.8900641482537,5
,14.0585551330798,5
,21.4634482758621,5
,11.5988679245283,5
,16.7096528250511,5
,18.9869751499572,5
,23.5332788225675,5
,25.2,5
,29.7540467404674,5
,23.8690936785986,5
,24.6579524301965,5
,24.0222680412371,5
,15.3119040767386,5
,10.0200645392614,5
,13.9958072063641,5
,21.3369745649264,5
