TIME,bandwidth,Lat,,
09:04.6,19.555,,,
09:04.7,19.605,,,
09:04.8,19.947,,,
09:04.9,19.788,,,
09:05.0,31.278,,,
09:05.1,23.872,,,
09:05.2,28.855,,,
09:05.3,29.189,,,
09:05.4,26.492,,,
09:05.5,23.508,,,
09:05.6,25.979,,,
09:05.7,27.351,,,
09:05.8,18.085,,,
09:05.9,22.499,,,
09:06.0,24.269,,,
09:06.1,29.192,,,
09:06.2,28.367,,,
09:06.3,21.808,,,
09:06.4,20.673,,,
09:06.5,27.591,,,
09:06.6,26.466,,,
09:06.7,25.689,,,
09:06.8,23.255,,,
09:06.9,21.961,,,
09:07.0,21.849,,,
09:07.1,19.324,,,
09:07.2,19.049,,,
09:07.3,19.33,,,
09:07.4,15.25,,,
09:07.5,17.032,,,
09:07.6,17.96,,,
09:07.7,17.115,,,
09:07.8,14.101,,,
09:07.9,14.914,,,
09:08.0,11.653,,,
09:08.1,11.895,,,
09:08.2,9.095,,,
09:08.3,9.348,,,
09:08.4,4.756,,,
09:08.5,6.755,,,
09:08.6,8.403,,,
09:08.7,10.043,,,
09:08.8,9.884,,,
09:08.9,10.946,,,
09:09.0,9.172,,,
09:09.1,9.329,,,
09:09.2,10.231,,,
09:09.3,7.123,,,
09:09.4,6.55,,,
09:09.5,6.869,,,
09:09.6,5.328,,,
09:09.7,5.597,,,
09:09.8,5.781,,,
09:09.9,5.162,,,
09:10.0,6.635,,,
09:10.1,9.986,,,
09:10.2,14.685,,,
09:10.3,13.902,,,
09:10.4,13.308,,,
09:10.5,15.946,,,
09:10.6,8.668,,,
09:10.7,14.678,,,
09:10.8,18.36,,,
09:10.9,14.067,,,
09:11.0,28.271,,,
09:11.1,23.36,,,
09:11.2,25.591,,,
09:11.3,26.584,,,
09:11.4,20.898,,,
09:11.5,31.573,,,
09:11.6,29.239,,,
09:11.7,29.28,,,
09:11.8,26.609,,,
09:11.9,19.168,,,
09:12.0,19.816,,,
09:12.1,12.937,,,
09:12.2,21.007,,,
09:12.3,15.63,,,
09:12.4,18.718,,,
09:12.5,11.746,,,
09:12.6,12.942,,,
09:12.7,10.641,,,
09:12.8,15.922,,,
09:12.9,20.098,,,
09:13.0,17.83,,,
09:13.1,20.131,,,
09:13.2,10.888,,,
09:13.3,13.481,,,
09:13.4,13.541,,,
09:13.5,13.201,,,
09:13.6,10.68,,,
09:13.7,15.789,,,
09:13.8,14.724,,,
09:13.9,16.369,,,
09:14.0,18.807,,,
09:14.1,15.55,,,
09:14.2,20.955,,,
09:14.3,17.46,,,
09:14.4,12.486,,,
09:14.5,12.797,,,
09:14.6,31.174,,,
09:14.7,19.803,,,
09:14.8,9.689,,,
09:14.9,26.878,,,
09:15.0,26.086,,,
09:15.1,17.594,,,
09:15.2,11.516,,,
09:15.3,22.741,,,
09:15.4,13.476,,,
09:15.5,26.598,,,
09:15.6,20.685,,,
09:15.7,17.149,,,
09:15.8,31.849,,,
09:15.9,34.312,,,
09:16.0,27.433,,,
09:16.1,15.41,,,
09:16.2,21.062,,,
09:16.3,32.697,,,
09:16.4,48.342,,,
09:16.5,49.899,,,
09:16.6,52.939,,,
09:16.7,48.289,,,
09:16.8,38.383,,,
09:16.9,23.968,,,
09:17.0,20.318,,,
09:17.1,14.248,,,
09:17.2,14.742,,,
09:17.3,13.75,,,
09:17.4,12.694,,,
09:17.5,14.352,,,
09:17.6,13.115,,,
09:17.7,10.225,,,
09:17.8,10.063,,,
09:17.9,11.195,,,
09:18.0,10.664,,,
09:18.1,10.601,,,
09:18.2,12.416,,,
09:18.3,10.155,,,
09:18.4,9.091,,,
09:18.5,10.611,,,
09:18.6,10.976,,,
09:18.7,12.612,,,
09:18.8,13.565,,,
09:18.9,10.776,,,
09:19.0,11.238,,,
09:19.1,13.797,,,
09:19.2,17.623,,,
09:19.3,13.472,,,
09:19.4,15.264,,,
09:19.5,7.771,,,
09:19.6,14.567,,,
09:19.7,14.45,,,
09:19.8,12.841,,,
09:19.9,16.251,,,
09:20.0,18.212,,,
09:20.1,9.419,,,
09:20.2,10.93,,,
09:20.3,13.885,,,
09:20.4,17.67,,,
09:20.5,13.537,,,
09:20.6,15.146,,,
09:20.7,14.072,,,
09:20.8,13.058,,,
09:20.9,18.359,,,
09:21.0,12.908,,,
09:21.1,16.43,,,
09:21.2,18.2,,,
09:21.3,12.318,,,
09:21.4,9.793,,,
09:21.5,17.547,,,
09:21.6,18.986,,,
09:21.7,12.806,,,
09:21.8,17.394,,,
09:21.9,12.443,,,
09:22.0,10.796,,,
09:22.1,12.047,,,
09:22.2,13.917,,,
09:22.3,14.556,,,
09:22.4,11.673,,,
09:22.5,16.826,,,
09:22.6,16.358,,,
09:22.7,18.919,,,
09:22.8,23.395,,,
09:22.9,14.239,,,
09:23.0,14.461,,,
09:23.1,13.126,,,
09:23.2,18.239,,,
09:23.3,20.86,,,
09:23.4,20.18,,,
09:23.5,21.232,,,
09:23.6,12.46,,,
09:23.7,14.155,,,
09:23.8,14.991,,,
09:23.9,14.132,,,
09:24.0,16.71,,,
09:24.1,15.174,,,
09:24.2,13.787,,,
09:24.3,16.452,,,
09:24.4,17.572,,,
09:24.5,16.869,,,
09:24.6,18.555,,,
09:24.7,18.554,,,
09:24.8,19.344,,,
09:24.9,20.546,,,
09:25.0,18.729,,,
09:25.1,18.998,,,
09:25.2,14.316,,,
09:25.3,16.733,,,
09:25.4,15.524,,,
09:25.5,12.889,,,
09:25.6,14.418,,,
09:25.7,13.623,,,
09:25.8,13.817,,,
09:25.9,14.263,,,
09:26.0,12.625,,,
09:26.1,15.682,,,
09:26.2,14.906,,,
09:26.3,16.515,,,
09:26.4,20.32,,,
09:26.5,21.89,,,
09:26.6,19.2,,,
09:26.7,19.081,,,
09:26.8,21.087,,,
09:26.9,25.463,,,
09:27.0,22.538,,,
09:27.1,25.898,,,
09:27.2,25.98,,,
09:27.3,21.659,,,
09:27.4,26.089,,,
09:27.5,18.496,,,
09:27.6,28.874,,,
09:27.7,25.712,,,
09:27.8,23.725,,,
09:27.9,21.066,,,
09:28.0,24.174,,,
09:28.1,22.175,,,
09:28.2,25.028,,,
09:28.3,24.021,,,
09:28.4,22.258,,,
09:28.5,14.48,,,
09:28.6,25.459,,,
09:28.7,25.79,,,
09:28.8,24.317,,,
09:28.9,25.07,,,
09:29.0,28.417,,,
09:29.1,30.73,,,
09:29.2,32.919,,,
09:29.3,28.152,,,
09:29.4,26.189,,,
09:29.5,31.297,,,
09:29.6,28.979,,,
09:29.7,38.972,,,
09:29.8,36.204,,,
09:29.9,38.862,,,
09:30.0,33.416,,,
09:30.1,27.368,,,
09:30.2,27.925,,,
09:30.3,28.779,,,
09:30.4,31.995,,,
09:30.5,39.811,,,
09:30.6,43.911,,,
09:30.7,40.906,,,
09:30.8,39.778,,,
09:30.9,36.543,,,
09:31.0,40.868,,,
09:31.1,38.199,,,
09:31.2,22.724,,,
09:31.3,26.646,,,
09:31.4,23.637,,,
09:31.5,28.553,,,
09:31.6,35.402,,,
09:31.7,34.087,,,
09:31.8,38.976,,,
09:31.9,41.772,,,
09:32.0,40.868,,,
09:32.1,38.914,,,
09:32.2,34.299,,,
09:32.3,22.837,,,
09:32.4,21.17,,,
09:32.5,29.036,,,
09:32.6,23.501,,,
09:32.7,28.773,,,
09:32.8,30.664,,,
09:32.9,27.232,,,
09:33.0,30.455,,,
09:33.1,20.007,,,
09:33.2,13.465,,,
09:33.3,13.756,,,
09:33.4,13.903,,,
09:33.5,13.999,,,
09:33.6,14.856,,,
09:33.7,14.936,,,
09:33.8,14.454,,,
09:33.9,14.527,,,
09:34.0,13.634,,,
09:34.1,14.061,,,
09:34.2,9.337,,,
09:34.3,11.909,,,
09:34.4,11.306,,,
09:34.5,9.647,,,
09:34.6,10.649,,,
09:34.7,13.413,,,
09:34.8,14.247,,,
09:34.9,14.364,,,
09:35.0,15.338,,,
09:35.1,14.294,,,
09:35.2,12.518,,,
09:35.3,12.915,,,
09:35.4,13.074,,,
09:35.5,14.679,,,
